year,sex,name,n,prop
1895,F,Patricia,35,0.000141639
1895,F,Jessica,19,7.69E-05
1895,F,Deborah,13,5.26E-05
1896,F,abc,4392,0.017429056
1896,F,Dorothy,1366,0.005420785
1896,F,Amanda,367,0.00145639
1896,F,Betty,342,0.001357181
1896,F,Linda,104,0.00041271
1896,F,Patricia,37,0.000146829
1896,F,Deborah,18,7.14E-05
1896,F,Jessica,9,3.57E-05
1897,F,abc,4519,0.018201591
1897,F,Dorothy,1472,0.005928909
1897,F,Betty,367,0.0014782
1897,F,Amanda,354,0.001425838
1897,F,Linda,81,0.000326251
1897,F,Patricia,49,0.000197362
1897,F,Deborah,23,9.26E-05
1897,F,Jessica,9,3.63E-05
1898,F,abc,5230,0.019077426
1898,F,Dorothy,1671,0.006095292
1898,F,Betty,421,0.001535678
1898,F,Amanda,371,0.001353294
1898,F,Linda,102,0.000372065
1898,F,Patricia,47,0.000171441
1898,F,Deborah,21,7.66E-05
1898,F,Jessica,13,4.74E-05
1899,F,abc,5048,0.020396784
1899,F,Dorothy,1687,0.006816437
1899,F,Betty,410,0.001656633
1899,F,Amanda,326,0.001317225
1899,F,Linda,98,0.000395976
1899,F,Patricia,56,0.000226272
1899,F,Jessica,14,5.66E-05
1899,F,Deborah,11,4.44E-05
1900,F,abc,6343,0.019960664
1900,F,Dorothy,2491,0.00783888
1900,F,Betty,664,0.002089529
1900,F,Amanda,377,0.001186374
1900,F,Linda,126,0.000396507
1900,F,Patricia,89,0.000280072
1900,F,Deborah,26,8.18E-05
1900,F,Jessica,23,7.24E-05
1901,F,abc,5247,0.020638629
1901,F,Dorothy,2173,0.008547311
1901,F,Betty,474,0.001864439
1901,F,Amanda,317,0.001246893
1901,F,Linda,86,0.000338274
1901,F,Patricia,68,0.000267472
1901,F,Deborah,21,8.26E-05
1901,F,Jessica,8,3.15E-05
1902,F,abc,5967,0.0212854
1902,F,Dorothy,2707,0.009656373
1902,F,Betty,580,0.002068968
1902,F,Amanda,301,0.001073723
1902,F,Linda,91,0.000324614
1902,F,Patricia,85,0.000303211
1902,F,Deborah,21,7.49E-05
1902,F,Jessica,9,3.21E-05
1903,F,abc,6129,0.022031071
1903,F,Dorothy,3078,0.011064062
1903,F,Betty,596,0.002142359
1903,F,Amanda,247,0.000887857
1903,F,Linda,90,0.000323511
1903,F,Patricia,79,0.00028397
1903,F,Deborah,21,7.55E-05
1903,F,Jessica,16,5.75E-05
1904,F,abc,6488,0.022185899
1904,F,Dorothy,3477,0.0118897
1904,F,Betty,707,0.002417606
1904,F,Amanda,294,0.001005341
1904,F,Patricia,124,0.000424022
1904,F,Linda,101,0.000345372
1904,F,Deborah,23,7.86E-05
1904,F,Jessica,16,5.47E-05
1905,F,abc,6811,0.021980185
1905,F,Dorothy,3937,0.012705328
1905,F,Betty,807,0.002604318
1905,F,Amanda,311,0.001003647
1905,F,Patricia,121,0.000390486
1905,F,Linda,106,0.000342079
1905,F,Deborah,18,5.81E-05
1905,F,Jessica,17,5.49E-05
1906,F,abc,7176,0.022894261
1906,F,Dorothy,4326,0.013801641
1906,F,Betty,865,0.00275969
1906,F,Amanda,260,0.000829502
1906,F,Patricia,157,0.000500892
1906,F,Linda,98,0.000312659
1906,F,Deborah,25,7.98E-05
1906,F,Jessica,18,5.74E-05
1907,F,abc,7579,0.022460755
1907,F,Dorothy,4967,0.014719959
1907,F,Betty,1018,0.003016895
1907,F,Amanda,285,0.000844612
1907,F,Patricia,177,0.000524549
1907,F,Linda,102,0.000302282
1907,F,Deborah,21,6.22E-05
1907,F,Jessica,17,5.04E-05
1908,F,abc,8439,0.023803144
1908,F,Dorothy,5703,0.01608595
1908,F,Betty,1128,0.00318165
1908,F,Amanda,260,0.000733359
1908,F,Patricia,205,0.000578225
1908,F,Linda,93,0.000262317
1908,F,Deborah,25,7.05E-05
1908,F,Jessica,17,4.80E-05
1909,F,abc,9250,0.025129178
1909,F,Dorothy,6253,0.016987324
1909,F,Betty,1082,0.002939435
1909,F,Amanda,271,0.000736217
1909,F,Patricia,233,0.000632984
1909,F,Linda,105,0.00028525
1909,F,Deborah,26,7.06E-05
1909,F,Jessica,18,4.89E-05
1910,F,abc,10479,0.02497819
1910,F,Dorothy,7318,0.017443496
1910,F,Betty,1389,0.003310879
1910,F,Patricia,316,0.000753231
1910,F,Amanda,278,0.000662653
1910,F,Linda,137,0.000326559
1910,F,Deborah,33,7.87E-05
1910,F,Jessica,28,6.67E-05
1911,F,abc,11802,0.026712719
1911,F,Dorothy,8869,0.020074149
1911,F,Betty,1456,0.003295519
1911,F,Patricia,325,0.000735607
1911,F,Amanda,280,0.000633754
1911,F,Linda,130,0.000294243
1911,F,Deborah,36,8.15E-05
1911,F,Jessica,21,4.75E-05
1912,F,abc,16133,0.027497494
1912,F,Dorothy,12645,0.021552459
1912,F,Betty,2011,0.003427599
1912,F,Patricia,504,0.00085903
1912,F,Amanda,310,0.000528372
1912,F,Linda,189,0.000322136
1912,F,Jessica,36,6.14E-05
1912,F,Deborah,32,5.45E-05
1913,F,abc,18889,0.028842395
1913,F,Dorothy,14674,0.022406337
1913,F,Betty,2239,0.003418822
1913,F,Patricia,588,0.000897842
1913,F,Amanda,346,0.000528322
1913,F,Linda,238,0.000363412
1913,F,Deborah,42,6.41E-05
1913,F,Jessica,25,3.82E-05
1914,F,abc,23221,0.029149845
1914,F,Dorothy,18782,0.023577468
1914,F,Betty,2933,0.003681861
1914,F,Patricia,656,0.000823492
1914,F,Amanda,375,0.000470746
1914,F,Linda,219,0.000274916
1914,F,Deborah,62,7.78E-05
1914,F,Jessica,42,5.27E-05
1915,F,abc,30866,0.030146052
1915,F,Dorothy,25154,0.024567284
1915,F,Betty,4182,0.004084455
1915,F,Patricia,895,0.000874124
1915,F,Amanda,412,0.00040239
1915,F,Linda,290,0.000283236
1915,F,Deborah,106,0.000103528
1915,F,Jessica,55,5.37E-05
1916,F,abc,32661,0.030082674
1916,F,Dorothy,27415,0.025250804
1916,F,Betty,5136,0.004730554
1916,F,Patricia,1078,0.0009929
1916,F,Amanda,421,0.000387765
1916,F,Linda,297,0.000273554
1916,F,Deborah,90,8.29E-05
1916,F,Jessica,53,4.88E-05
1917,F,abc,34249,0.030478721
1917,F,Dorothy,28853,0.025676736
1917,F,Betty,6639,0.00590815
1917,F,Patricia,1441,0.001282368
1917,F,Amanda,445,0.000396012
1917,F,Linda,291,0.000258965
1917,F,Deborah,89,7.92E-05
1917,F,Jessica,55,4.89E-05
1917,F,Ashley,5,4.45E-06
1918,F,abc,36150,0.030065795
1918,F,Dorothy,32034,0.026642536
1918,F,Betty,8802,0.007320585
1918,F,Patricia,1760,0.001463784
1918,F,Amanda,397,0.000330183
1918,F,Linda,322,0.000267806
1918,F,Deborah,92,7.65E-05
1918,F,Jessica,56,4.66E-05
1919,F,abc,33705,0.028693653
1919,F,Dorothy,31734,0.027015707
1919,F,Betty,10107,0.008604265
1919,F,Patricia,2144,0.001825225
1919,F,Amanda,379,0.000322649
1919,F,Linda,282,0.000240072
1919,F,Deborah,70,5.96E-05
1919,F,Jessica,40,3.41E-05
1920,F,Dorothy,36645,0.029456496
1920,F,abc,35098,0.028212965
1920,F,Betty,14017,0.011267341
1920,F,Patricia,2502,0.002011193
1920,F,Amanda,379,0.000304653
1920,F,Linda,349,0.000280538
1920,F,Deborah,82,6.59E-05
1920,F,Jessica,43,3.46E-05
1921,F,Dorothy,39083,0.030541205
1921,F,abc,34819,0.027209125
1921,F,Betty,17637,0.013782341
1921,F,Patricia,3382,0.002642846
1921,F,Amanda,392,0.000306326
1921,F,Linda,367,0.00028679
1921,F,Deborah,94,7.35E-05
1921,F,Jessica,48,3.75E-05
1922,F,Dorothy,37711,0.030228507
1922,F,abc,32507,0.026057068
1922,F,Betty,20893,0.01674748
1922,F,Patricia,3902,0.003127778
1922,F,Linda,365,0.000292578
1922,F,Amanda,341,0.00027334
1922,F,Deborah,71,5.69E-05
1922,F,Jessica,40,3.21E-05
1923,F,Dorothy,39045,0.031175744
1923,F,abc,31492,0.025145
1923,F,Betty,25990,0.020751891
1923,F,Patricia,4800,0.003832592
1923,F,Linda,423,0.000337747
1923,F,Amanda,362,0.000289041
1923,F,Deborah,118,9.42E-05
1923,F,Jessica,52,4.15E-05
1924,F,Dorothy,39996,0.030867875
1924,F,abc,31193,0.024073948
1924,F,Betty,30602,0.02361783
1924,F,Patricia,6958,0.005370004
1924,F,Linda,454,0.000350385
1924,F,Amanda,341,0.000263175
1924,F,Deborah,125,9.65E-05
1924,F,Jessica,41,3.16E-05
1925,F,Dorothy,38572,0.030538872
1925,F,Betty,32817,0.025982427
1925,F,abc,29168,0.023093379
1925,F,Patricia,8095,0.006409109
1925,F,Linda,438,0.000346781
1925,F,Amanda,310,0.000245438
1925,F,Deborah,82,6.49E-05
1925,F,Jessica,34,2.69E-05
1926,F,Dorothy,36614,0.029764648
1926,F,Betty,32959,0.026793386
1926,F,abc,26884,0.021854832
1926,F,Patricia,8590,0.006983076
1926,F,Linda,479,0.000389394
1926,F,Amanda,310,0.000252009
1926,F,Deborah,116,9.43E-05
1926,F,Jessica,35,2.85E-05
1927,F,Dorothy,35987,0.0291075
1927,F,Betty,35422,0.028650509
1927,F,abc,25316,0.020476435
1927,F,Patricia,10553,0.008535623
1927,F,Linda,516,0.000417358
1927,F,Amanda,234,0.000189267
1927,F,Deborah,91,7.36E-05
1927,F,Jessica,39,3.15E-05
1928,F,Betty,36078,0.030181071
1928,F,Dorothy,33728,0.028215178
1928,F,abc,22936,0.019187124
1928,F,Patricia,12332,0.010316342
1928,F,Linda,554,0.000463449
1928,F,Amanda,247,0.000206628
1928,F,Deborah,130,0.000108752
1928,F,Jessica,36,3.01E-05
1929,F,Betty,36669,0.031680002
1929,F,Dorothy,31477,0.027194399
1929,F,abc,20983,0.018128159
1929,F,Patricia,13626,0.011772115
1929,F,Linda,509,0.000439748
1929,F,Amanda,209,0.000180565
1929,F,Deborah,161,0.000139095
1929,F,Jessica,42,3.63E-05
1930,F,Betty,38239,0.032785353
1930,F,Dorothy,30404,0.026067781
1930,F,abc,19914,0.017073865
1930,F,Patricia,15749,0.013502877
1930,F,Linda,493,0.000422688
1930,F,Amanda,196,0.000168046
1930,F,Deborah,165,0.000141468
1930,F,Jessica,38,3.26E-05
1931,F,Betty,36102,0.032714036
1931,F,Dorothy,26521,0.024032158
1931,F,abc,17657,0.015999993
1931,F,Patricia,16468,0.014922574
1931,F,Linda,534,0.000483887
1931,F,Amanda,209,0.000189387
1931,F,Deborah,158,0.000143173
1931,F,Jessica,39,3.53E-05
1932,F,Betty,34411,0.031108323
1932,F,Dorothy,24968,0.022571637
1932,F,Patricia,17991,0.016264271
1932,F,abc,16375,0.014803371
1932,F,Linda,774,0.000699714
1932,F,Amanda,213,0.000192557
1932,F,Deborah,208,0.000188037
1932,F,Jessica,44,3.98E-05
1933,F,Betty,31526,0.030143499
1933,F,Dorothy,22050,0.021083047
1933,F,Patricia,18625,0.017808243
1933,F,abc,14645,0.014002777
1933,F,Linda,786,0.000751532
1933,F,Deborah,243,0.000232344
1933,F,Amanda,199,0.000190273
1933,F,Jessica,43,4.11E-05
1934,F,Betty,31078,0.028718117
1934,F,Dorothy,21280,0.019664121
1934,F,Patricia,20847,0.019264
1934,F,abc,14099,0.013028404
1934,F,Linda,1001,0.00092499
1934,F,Deborah,280,0.000258738
1934,F,Amanda,189,0.000174648
1934,F,Jessica,46,4.25E-05
1935,F,Betty,28673,0.026385945
1935,F,Patricia,22876,0.021051334
1935,F,Dorothy,19400,0.017852591
1935,F,abc,12778,0.011758784
1935,F,Linda,1197,0.001101523
1935,F,Deborah,279,0.000256746
1935,F,Amanda,211,0.00019417
1935,F,Jessica,47,4.33E-05
1936,F,Betty,25863,0.024004366
1936,F,Patricia,23912,0.022193574
1936,F,Dorothy,17668,0.016398296
1936,F,abc,12232,0.011352952
1936,F,Linda,2439,0.002263722
1936,F,Deborah,299,0.000277512
1936,F,Amanda,192,0.000178202
1936,F,Jessica,43,3.99E-05
1937,F,Patricia,26837,0.024359117
1937,F,Betty,25328,0.022989445
1937,F,Dorothy,16571,0.015040986
1937,F,abc,11452,0.010394627
1937,F,Linda,4380,0.003975591
1937,F,Deborah,323,0.000293177
1937,F,Amanda,176,0.00015975
1937,F,Jessica,72,6.54E-05
1938,F,Patricia,27555,0.024142907
1938,F,Betty,25502,0.022344127
1938,F,Dorothy,16348,0.014323653
1938,F,abc,10833,0.009491566
1938,F,Linda,7047,0.006174381
1938,F,Deborah,410,0.00035923
1938,F,Amanda,192,0.000168225
1938,F,Jessica,50,4.38E-05
1938,F,Ashley,7,6.13E-06
1939,F,Patricia,29704,0.026194165
1939,F,Betty,23639,0.020845808
1939,F,Dorothy,15170,0.013377508
1939,F,Linda,10714,0.00944803
1939,F,abc,10417,0.009186124
1939,F,Deborah,443,0.000390655
1939,F,Amanda,185,0.00016314
1939,F,Jessica,77,6.79E-05
1940,F,Patricia,32661,0.027650413
1940,F,Betty,22074,0.018687585
1940,F,Linda,18368,0.01555013
1940,F,Dorothy,14874,0.012592151
1940,F,abc,10201,0.008636045
1940,F,Deborah,469,0.00039705
1940,F,Amanda,218,0.000184556
1940,F,Jessica,61,5.16E-05
1941,F,Patricia,36901,0.029620134
1941,F,Linda,23715,0.019035839
1941,F,Betty,20900,0.016776261
1941,F,Dorothy,14561,0.011687997
1941,F,abc,9889,0.00793782
1941,F,Deborah,608,0.000488037
1941,F,Amanda,223,0.000179
1941,F,Jessica,81,6.50E-05
1941,F,Ashley,6,4.82E-06
1942,F,Patricia,39454,0.028376721
1942,F,Linda,31611,0.022735756
1942,F,Betty,21654,0.015574328
1942,F,Dorothy,15032,0.010811549
1942,F,abc,10013,0.007201706
1942,F,Deborah,676,0.000486203
1942,F,Amanda,295,0.000212175
1942,F,Jessica,127,9.13E-05
1942,F,Ashley,8,5.75E-06
1943,F,Patricia,39620,0.027605389
1943,F,Linda,38437,0.026781129
1943,F,Betty,21595,0.0150464
1943,F,Dorothy,14785,0.010301506
1943,F,abc,9799,0.006827491
1943,F,Deborah,788,0.000549042
1943,F,Amanda,284,0.000197878
1943,F,Jessica,121,8.43E-05
1943,F,Ashley,10,6.97E-06
1944,F,Linda,38411,0.028110498
1944,F,Patricia,36872,0.026984205
1944,F,Betty,19757,0.014458856
1944,F,Dorothy,13378,0.009790483
1944,F,abc,8693,0.006361838
1944,F,Deborah,1293,0.000946262
1944,F,Amanda,238,0.000174177
1944,F,Jessica,124,9.07E-05
1944,F,Ashley,12,8.78E-06
1945,F,Linda,41464,0.030804182
1945,F,Patricia,35840,0.026626034
1945,F,Betty,18383,0.013656986
1945,F,Dorothy,12328,0.009158643
1945,F,abc,8300,0.006166185
1945,F,Deborah,1464,0.001087626
1945,F,Amanda,280,0.000208016
1945,F,Jessica,132,9.81E-05
1945,F,Ashley,10,7.43E-06
1946,F,Linda,52708,0.032680423
1946,F,Patricia,46295,0.028704185
1946,F,Betty,19714,0.012223227
1946,F,Dorothy,12796,0.007933875
1946,F,abc,8852,0.005488486
1946,F,Deborah,2470,0.001531469
1946,F,Amanda,274,0.000169888
1946,F,Jessica,240,0.000148807
1946,F,Ashley,7,4.34E-06
1947,F,Linda,99680,0.054836089
1947,F,Patricia,51274,0.028206918
1947,F,Betty,18962,0.0104314
1947,F,Dorothy,12751,0.007014596
1947,F,abc,8978,0.004938989
1947,F,Deborah,5838,0.003211608
1947,F,Jessica,430,0.000236552
1947,F,Amanda,310,0.000170538
1947,F,Ashley,11,6.05E-06
1948,F,Linda,96211,0.055211591
1948,F,Patricia,46135,0.026475005
1948,F,Betty,16622,0.009538692
1948,F,Dorothy,11326,0.006499532
1948,F,Deborah,11246,0.006453623
1948,F,abc,8305,0.004765903
1948,F,Jessica,482,0.0002766
1948,F,Amanda,306,0.000175601
1948,F,Ashley,13,7.46E-06
1949,F,Linda,91010,0.051842809
1949,F,Patricia,46337,0.026395344
1949,F,Deborah,19208,0.010941618
1949,F,Betty,14946,0.008513819
1949,F,Dorothy,10406,0.005927659
1949,F,abc,7709,0.004391344
1949,F,Jessica,406,0.000231273
1949,F,Amanda,333,0.00018969
1949,F,Ashley,11,6.27E-06
1950,F,Linda,80439,0.045731962
1950,F,Patricia,47952,0.027262137
1950,F,Deborah,29073,0.016528865
1950,F,Betty,13614,0.007739964
1950,F,Dorothy,9555,0.005432301
1950,F,abc,7060,0.00401382
1950,F,Jessica,402,0.000228549
1950,F,Amanda,379,0.000215473
1950,F,Ashley,15,8.53E-06
1951,F,Linda,73947,0.040043495
1951,F,Patricia,56433,0.030559381
1951,F,Deborah,42045,0.022768046
1951,F,Betty,12820,0.006942237
1951,F,Dorothy,9082,0.00491805
1951,F,abc,6945,0.00376083
1951,F,Jessica,466,0.000252347
1951,F,Amanda,409,0.00022148
1951,F,Ashley,15,8.12E-06
1952,F,Linda,67092,0.035271759
1952,F,Patricia,53090,0.027910596
1952,F,Deborah,49809,0.026185701
1952,F,Betty,12125,0.006374383
1952,F,Dorothy,8608,0.004525417
1952,F,abc,6470,0.003401423
1952,F,Jessica,452,0.000237626
1952,F,Amanda,418,0.000219752
1952,F,Ashley,24,1.26E-05
1953,F,Linda,61264,0.031757584
1953,F,Deborah,52196,0.027056981
1953,F,Patricia,51007,0.026440635
1953,F,Betty,11367,0.005892342
1953,F,Dorothy,8154,0.004226811
1953,F,abc,6120,0.003172441
1953,F,Jessica,495,0.000256594
1953,F,Amanda,428,0.000221864
1953,F,Ashley,15,7.78E-06
1954,F,Linda,55371,0.027815789
1954,F,Deborah,54674,0.027465649
1954,F,Patricia,49133,0.024682111
1954,F,Betty,10615,0.005332477
1954,F,Dorothy,7791,0.003913832
1954,F,abc,5940,0.002983977
1954,F,Amanda,428,0.000215007
1954,F,Jessica,424,0.000212998
1954,F,Ashley,21,1.05E-05
1955,F,Deborah,52314,0.026099932
1955,F,Linda,51279,0.025583562
1955,F,Patricia,46210,0.023054591
1955,F,Betty,9928,0.00495317
1955,F,Dorothy,7241,0.003612601
1955,F,abc,5596,0.002791896
1955,F,Amanda,452,0.000225507
1955,F,Jessica,386,0.000192579
1955,F,Ashley,8,3.99E-06
1956,F,Linda,48067,0.023341087
1956,F,Deborah,47829,0.023225515
1956,F,Patricia,43332,0.021041795
1956,F,Betty,9213,0.004473785
1956,F,Dorothy,6862,0.003332152
1956,F,abc,5279,0.002563455
1956,F,Amanda,643,0.000312237
1956,F,Jessica,406,0.000197152
1956,F,Ashley,25,1.21E-05
1957,F,Linda,44495,0.021213187
1957,F,Deborah,40065,0.019101165
1957,F,Patricia,39277,0.018725483
1957,F,Betty,8474,0.004040017
1957,F,Dorothy,6401,0.003051705
1957,F,abc,5015,0.002390923
1957,F,Amanda,667,0.000317995
1957,F,Jessica,476,0.000226935
1957,F,Ashley,27,1.29E-05
1958,F,Linda,41898,0.02028948
1958,F,Patricia,37932,0.018368909
1958,F,Deborah,32936,0.015949552
1958,F,Betty,7709,0.003733152
1958,F,Dorothy,5539,0.00268231
1958,F,abc,4763,0.002306525
1958,F,Amanda,796,0.00038547
1958,F,Jessica,529,0.000256173
1958,F,Ashley,38,1.84E-05
1959,F,Linda,40409,0.019441639
1959,F,Patricia,35221,0.016945581
1959,F,Deborah,29552,0.014218103
1959,F,Betty,7317,0.003520366
1959,F,Dorothy,5238,0.002520114
1959,F,abc,4378,0.00210635
1959,F,Amanda,858,0.000412802
1959,F,Jessica,523,0.000251627
1959,F,Ashley,37,1.78E-05
1960,F,Linda,37314,0.017940027
1960,F,Patricia,32107,0.015436577
1960,F,Deborah,25269,0.012148967
1960,F,Betty,6503,0.003126548
1960,F,Dorothy,5077,0.002440948
1960,F,abc,4069,0.001956316
1960,F,Amanda,977,0.000469727
1960,F,Jessica,560,0.00026924
1960,F,Ashley,57,2.74E-05
1961,F,Linda,35574,0.017133981
1961,F,Patricia,28867,0.013903599
1961,F,Deborah,24092,0.011603752
1961,F,Betty,5580,0.00268757
1961,F,Dorothy,4726,0.002276247
1961,F,abc,3855,0.001856735
1961,F,Amanda,1057,0.000509097
1961,F,Jessica,669,0.000322219
1961,F,Ashley,80,3.85E-05
1962,F,Linda,31462,0.015521322
1962,F,Patricia,26538,0.013092138
1962,F,Deborah,22893,0.01129393
1962,F,Betty,4765,0.002350744
1962,F,Dorothy,4075,0.002010342
1962,F,abc,3587,0.001769595
1962,F,Amanda,948,0.000467682
1962,F,Jessica,867,0.000427722
1962,F,Ashley,95,4.69E-05
1963,F,Linda,27715,0.013941918
1963,F,Patricia,25363,0.012758754
1963,F,Deborah,21062,0.010595154
1963,F,Betty,4154,0.002089653
1963,F,Dorothy,3791,0.001907047
1963,F,abc,3340,0.001680173
1963,F,Jessica,1121,0.000563915
1963,F,Amanda,1035,0.000520653
1963,F,Ashley,108,5.43E-05
1964,F,Patricia,26087,0.013328858
1964,F,Linda,23633,0.012075014
1964,F,Deborah,19306,0.009864182
1964,F,Betty,4067,0.002077988
1964,F,Dorothy,3535,0.001806168
1964,F,abc,3095,0.001581355
1964,F,Amanda,1275,0.000651447
1964,F,Jessica,1172,0.00059882
1964,F,Ashley,180,9.20E-05
1965,F,Patricia,23551,0.012888118
1965,F,Linda,19339,0.010583131
1965,F,Deborah,17083,0.009348551
1965,F,Betty,3565,0.001950921
1965,F,Dorothy,2960,0.001619839
1965,F,abc,2804,0.001534469
1965,F,Amanda,1650,0.000902951
1965,F,Jessica,1529,0.000836734
1965,F,Ashley,218,0.000119299
1966,F,Patricia,20115,0.011457915
1966,F,Deborah,16250,0.009256332
1966,F,Linda,15560,0.008863294
1966,F,Betty,2948,0.001679241
1966,F,Dorothy,2667,0.001519178
1966,F,abc,2449,0.001395
1966,F,Amanda,2329,0.001326646
1966,F,Jessica,1665,0.000948418
1966,F,Ashley,263,0.00014981
1967,F,Patricia,17746,0.010337552
1967,F,Deborah,14007,0.008159478
1967,F,Linda,13199,0.007688795
1967,F,Amanda,2663,0.001551274
1967,F,Betty,2543,0.00148137
1967,F,Dorothy,2316,0.001349136
1967,F,abc,2153,0.001254184
1967,F,Jessica,1761,0.001025833
1967,F,Ashley,386,0.000224856
1968,F,Patricia,15806,0.009246087
1968,F,Deborah,12286,0.007186981
1968,F,Linda,11368,0.006649975
1968,F,Amanda,2430,0.001421485
1968,F,Betty,2134,0.001248333
1968,F,Dorothy,2084,0.001219084
1968,F,abc,1881,0.001100335
1968,F,Jessica,1841,0.001076936
1968,F,Ashley,544,0.000318225
1969,F,Patricia,14957,0.008485182
1969,F,Deborah,11186,0.006345875
1969,F,Linda,10248,0.005813742
1969,F,Amanda,2817,0.001598098
1969,F,Jessica,2492,0.001413724
1969,F,Betty,2133,0.001210062
1969,F,abc,1857,0.001053486
1969,F,Dorothy,1778,0.001008668
1969,F,Ashley,643,0.000364777
1970,F,Patricia,13404,0.00731677
1970,F,Deborah,9853,0.005378404
1970,F,Linda,8734,0.004767582
1970,F,Jessica,4023,0.002196013
1970,F,Amanda,3550,0.001937819
1970,F,Betty,1967,0.001073716
1970,F,Dorothy,1802,0.000983648
1970,F,abc,1715,0.000936158
1970,F,Ashley,932,0.000508746
1971,F,Patricia,11466,0.006543191
1971,F,Deborah,8675,0.004950478
1971,F,Linda,7379,0.004210902
1971,F,Jessica,5360,0.003058739
1971,F,Amanda,4133,0.002358539
1971,F,Betty,1763,0.001006074
1971,F,Dorothy,1626,0.000927894
